provider,city,car type,Night_start_time,night base fare,night base km,fare per km,Night waiting Charge,day base fare,day base km,fare per km,Day waiting charge,Night_end_time,Minimum bill,Cancellation Charge,ride charge,ride charge after,night ride charge,nide ride charge after
TaxiForSure,Delhi,hatchback,0,74,4,16,0,49,4,14,0,5,0,0,1,0,1,0
TaxiForSure,Delhi,sedan,0,74,4,18,0,49,4,16,0,5,0,0,1,0,1,0
TaxiForSure,Gwalior,hatchback,0,74,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Gwalior,sedan,0,74,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Hyderabad,nano,0,25,0,10,0,25,0,10,0,5,0,0,1,0,1,0
TaxiForSure,Hyderabad,hatchback,0,99,4,15,0,49,4,12,0,5,0,0,1,0,1,0
TaxiForSure,Hyderabad,sedan,0,99,4,18,0,49,4,14,0,5,0,0,1,0,1,0
TaxiForSure,Indore,hatchback,0,74,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Indore,sedan,0,74,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Jabalpur,hatchback,0,74,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Jabalpur,sedan,0,74,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Jaipur,hatchback,0,49,4,10,0,49,4,10,0,6,0,0,1,0,1,0
TaxiForSure,Jaipur,sedan,0,49,4,12,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Jaipur,suv,0,49,4,14,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Jalandhar,hatchback,0,99,3,16,0,49,3,14,0,5,0,0,1,0,1,0
TaxiForSure,Jalandhar,sedan,0,99,3,18,0,49,3,16,0,5,0,0,1,0,1,0
TaxiForSure,Jamnagar,hatchback,0,74,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Jamnagar,sedan,0,74,4,16,0,49,4,14,0,6,0,0,1,0,1,0
TaxiForSure,Jamshedpur,hatchback,0,99,4,14,0,49,4,12,0,6,0,0,1,0,1,0
TaxiForSure,Jamshedpur,sedan,0,99,4,16,0,49,4,14,0,6,0,0,1,0,1,0
